"LicenceNumber","ApplicationStatusEn","LicenceStatus","LicenceTypeEn","Latitude","Longitude","PremisesName","StreetAddress","City","Province","PostalCode","AddressID"
"CRSA1107686","Authorized to Open","Active","Cannabis Retail Store Authorization","46.4509339","-81.004715","CANNA CABANA SUDBURY","2019 LONG LAKE RD","SUDBURY","ON","P3E4M8","33370016"
"CRSA1114079","Authorized to Open","Active","Cannabis Retail Store Authorization","42.9378417","-81.2258887","LONDON CANNABIS","1025 WELLINGTON ROAD, UNIT A-2","LONDON","ON","N6E 1W4","33835672"
"CRSA1126112","Authorized to Open","Active","Cannabis Retail Store Authorization","43.8792257","-78.8789117","PURPLE MOOSE","575 LAVAL DR SUITE 400","OSHAWA","ON","L1J0B5","33661682"
"CRSA1152164","Authorized to Open","Active","Cannabis Retail Store Authorization","43.1998941","-79.2540174","THE NIAGARA HERBALIST","33 LAKESHORE RD UNIT 15","ST CATHARINES","ON","L2N7B3","32883111"
"CRSA1159246","Authorized to Open","Active","Cannabis Retail Store Authorization","43.8611438885155","-79.0267664235069","One Plant","20 KINGSTON RD W UNIT 3A","AJAX","ON","L1T4K8","49775356"
"CRSA1161431","Authorized to Open","Active","Cannabis Retail Store Authorization","43.9674272563658","-79.2641397116549","One Plant Stouffville","5779 MAIN ST UNIT 105","STOUFFVILLE","ON","L4A4R2","44268797"
"CRSA1162578","Authorized to Open","Active","Cannabis Retail Store Authorization","43.2501753","-79.8062979","CANNA CABANA","1317 BARTON STREET EAST UNIT H09","HAMILTON","ON","L8H 2V4","34574367"
"CRSA1170449","Authorized to Open","Active","Cannabis Retail Store Authorization","46.339865","-79.573687","Kana Leaf","2 OSPREY MIIKAN RD","NORTH BAY","ON","P1B8G5","43513805"
"CRSA1172363","Authorized to Open","Active","Cannabis Retail Store Authorization","43.2603708157135","-79.8675106572507","The Gym Cannabis","135 JAMES ST N","HAMILTON","ON","L8R2K8","44040509"
"CRSA1172364","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6812341795833","-79.4284759848808","Edition X","764 ST CLAIR AVE W","TORONTO","ON","M6C1B5","64489344"
"CRSA1172368","Authorized to Open","Active","Cannabis Retail Store Authorization","43.7569586","-79.2784465","Your Local Cannabis","1260 KENNEDY RD UNIT 9","SCARBOROUGH","ON","M1P2L3","35871990"
"CRSA1172378","Authorized to Open","Active","Cannabis Retail Store Authorization","43.7836107548909","-79.1701464114204","GOOD COOKIE","371 OLD KINGSTON RD SUITE B","SCARBOROUGH","ON","M1C1B7","64491117"
"CRSA1172379","Authorized to Open","Active","Cannabis Retail Store Authorization","45.3677451897977","-75.7026070184088","SPIRITLEAF 888 MEADOWLANDS DRIVE EAST","888 MEADOWLANDS DR E UNIT 7","OTTAWA","ON","K2C3R2","68287959"
"CRSA1172387","Authorized to Open","Active","Cannabis Retail Store Authorization","43.0893345167353","-79.1026394460154","OFFSIDE CANNABIS","6474 LUNDY'S LANE","NIAGARA FALLS","ON","L2G1T6","44052631"
"CRSA1172387","Authorized to Open","Active","Cannabis Retail Store Authorization","43.0893345167353","-79.1026394460154","OFFSIDE CANNABIS","6474 LUNDY'S LANE","NIAGARA FALLS","ON","L2G1T6","44052631"
"CRSA1172392","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6381282234404","-79.4314765942351","Dutch Love Cannabis","1316 KING ST W","TORONTO","ON","M6K1G8","64492156"
"CRSA1172412","Authorized to Open","Active","Cannabis Retail Store Authorization","43.942662","-79.3789333411341","Gormley Cannabis","12275 WOODBINE AVE.","WHITCHURCH-STOUFFVILLE","ON","L0H 1G0","64493626"
"CRSA1172417","Authorized to Open","Active","Cannabis Retail Store Authorization","44.2868381218764","-78.3261063269662","Sessions Cannabis Peterborough","550 LANSDOWNE ST W UNIT 15","PETERBOROUGH","ON","K9J8J8","64494115"
"CRSA1172422","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6757563716412","-79.4024467264808","Davenport Leaf","139 DUPONT ST","TORONTO","ON","M5R1V4","64494500"
"CRSA1172424","Authorized to Open","Active","Cannabis Retail Store Authorization","43.4374251912974","-80.5115572994978","HIGHLAND CANNABIS","370 HIGHLAND RD W UNIT 15B","KITCHENER","ON","N2M5J9","64494758"
"CRSA1172427","Authorized to Open","Active","Cannabis Retail Store Authorization","43.644909008241","-79.39516677493","BLUNT AND CHERRY","64 SPADINA AVE UNIT 100","TORONTO","ON","M5V2H8","207552604"
"CRSA1172435","Authorized to Open","Active","Cannabis Retail Store Authorization","44.2750270930229","-78.3742964546424","Kasa Kana","1840 LANSDOWNE ST W UNIT 8","PETERBOROUGH","ON","K9K2M9","64495650"
"CRSA1172436","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6628880940908","-79.3673876066999","Canna Cabana","433 PARLIAMENT ST","TORONTO","ON","M5A3A1","45031"
"CRSA1172436","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6628880940908","-79.3673876066999","Canna Cabana","433 PARLIAMENT ST","TORONTO","ON","M5A3A1","45031"
"CRSA1172437","Authorized to Open","Active","Cannabis Retail Store Authorization","43.3745682855232","-79.835568001338","Canna Cabana  Burlington ","2400 GUELPH LINE UNIT 2","BURLINGTON","ON","L7P4M7","64495878"
"CRSA1172441","Authorized to Open","Active","Cannabis Retail Store Authorization","43.092058095216","-79.0761252556407","CANNA CABANA","5731 VICTORIA AVE","NIAGARA FALLS","ON","L2G3L5","44454980"
"CRSA1172441","Authorized to Open","Active","Cannabis Retail Store Authorization","43.092058095216","-79.0761252556407","CANNA CABANA","5731 VICTORIA AVE","NIAGARA FALLS","ON","L2G3L5","44454980"
"CRSA1172445","Authorized to Open","Active","Cannabis Retail Store Authorization","48.431073341393","-89.2277615754805","Rainbow Thunder Bay Cannabis Accessories","264 BAY ST","THUNDER BAY","ON","P7B1R5","24172121"
"CRSA1172446","Authorized to Open","Active","Cannabis Retail Store Authorization","45.2685800033009","-75.9312599599041","Spiritleaf 1250 STITTSVILLE MAIN STREET","1250 STITTSVILLE MAIN ST UNIT C10","STITTSVILLE","ON","K2S1S9","68788606"
"CRSA1172447","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6687462234404","-79.3378459848808","TWO CATS CANNABIS CO.","1014 GERRARD ST E","TORONTO","ON","M4M1Z3","64496739"
