License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Expiration Date,Date Updated
402-01197,1-11 LLC,1:11,Medical Marijuana Store,17034 Highway 17,Moffat,81143,7/7/2027,8/3/2026
402-00116,1022 S ROYER LLC,HIGHTOPS,Medical Marijuana Store,1022 South Royer Street,Colorado Springs,80903,8/7/2027,8/3/2026
402-00248,2306 N POWERS LLC,HIGHTOPS,Medical Marijuana Store,"2306 North Powers Frontage Road, Suite 100",Colorado Springs,80915,7/3/2027,8/3/2026
402-00618,4 ROSES LLC,BLEEZIES,Medical Marijuana Store,195 North Academy Boulevard,Colorado Springs,80909,5/2/2027,8/3/2026
402-00656,543 BRYANT STREET LLC,SNAXLAND,Medical Marijuana Store,543 Bryant Street,Denver,80204,10/24/2026,8/3/2026
402-01371,A AND M ENTERPRISES LLC,BACKSTAGE GRASS,Medical Marijuana Store,117 Greydene Avenue,Canon City,81212,9/27/2027,8/3/2026
402-00869,ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY HEALING ALAMOSA,Medical Marijuana Store,"0711 West Highway 160, Suite B",Alamosa,81101,8/16/2026,8/3/2026
402-00929,ACES PLACE LLC,,Medical Marijuana Store,"1101 Academy Court, Unit 4",Fort Collins,80524,4/1/2027,8/3/2026
402-01225,ADVANCED BTP LLC,KIND-MEDS,Medical Marijuana Store,1001 South Royer Street ,Colorado Springs,80903,1/17/2027,8/3/2026
402-00766,AF INC,SPACE BUDS,Medical Marijuana Store,621 West Colorado Avenue,Colorado Springs,80905,4/12/2027,8/3/2026
402-01057,AF INC,LIVING ROSE WELLNESS,Medical Marijuana Store,1426 North Academy Boulevard,Colorado Springs,80909,5/22/2027,8/3/2026
402-01119,AF INC,APOTHECARY FARMS,Medical Marijuana Store,3049 Delta Drive,Colorado Springs,80910,10/29/2027,8/3/2026
402-01330,AF INC,APOTHECARY FARMS,Medical Marijuana Store,414 West Garden of the Gods Road,Colorado Springs,80918,7/20/2027,8/3/2026
402-00375,AF INC,APOTHECARY FARMS,Medical Marijuana Store,2251 South Broadway,Denver,80210,4/9/2027,8/3/2026
402-00980,AF INC,APOTHECARY FARMS,Medical Marijuana Store,1917 Santa Fe Drive,Pueblo,81006,10/16/2027,8/3/2026
402-00049,ALL PRO ALAMEDA LLC,ROCKY MOUNTAIN HIGH,Medical Marijuana Store,1233 West Alameda Avenue,Denver,80223,7/22/2027,8/3/2026
