Dispensary Name,Latitude,Longitude,Serves Medical Patients,BLS Region,City,Dispensary Name,Street Address
Aces Dispensary - Plainfield,41.6531,-88.20242,No,Chicago-Naperville-Elgin,Plainfield,Aces Dispensary - Plainfield,12627 S Route 59
Altius Dispensary,42.38082,-88.05793,No,Chicago-Naperville-Elgin,Round Lake Beach,Altius Dispensary,993 E Rollins Rd
Altius Dispensary - Carol Stream,41.8923,-88.10808,No,Chicago-Naperville-Elgin,Carol Stream,Altius Dispensary - Carol Stream,506 S Schmale Rd
Altius Dispensary - Orland Hills,41.60147,-87.84072,No,Chicago-Naperville-Elgin,Orland Hills,Altius Dispensary - Orland Hills,9101 159th St
Alton Dispensary,38.88828,-90.16492,No,"St. Louis, MO",Alton,Alton Dispensary,1400 E Broadway
Aroma Hill - Belvidere,42.23586,-88.82023,No,Rockford,Belvidere,Aroma Hill - Belvidere,1874 Crystal Parkway
Aroma Hill - Fox Lake,42.36962,-88.1705,No,Chicago-Naperville-Elgin,Fox Lake,Aroma Hill - Fox Lake,1298 US Highway 12
Aroma Hill - Hoffman Estates,42.0463,-88.14396,No,Chicago-Naperville-Elgin,Hoffman Estates,Aroma Hill - Hoffman Estates,1237 North Barrington Road
Aroma Hill - Kankakee,41.12019,-87.83235,No,Kankakee,Kankakee,Aroma Hill - Kankakee,2255 E Court St
Aroma Hill - Peoria,40.74705,-89.61131,No,Peoria,Peoria,Aroma Hill - Peoria,1210 W Glen Ave
Ascend - Collinsville,38.679272,-89.987068,Yes,"St. Louis, MO",Collinsville,Ascend - Collinsville,1014 Eastport Plaza Dr
Ascend - Springfield,39.800449,-89.649109,Yes,Springfield,Springfield,Ascend - Springfield,628 E Adams St
Ascend - Springfield Horizon Dr.,39.77354,-89.633713,No,Springfield,Springfield,Ascend - Springfield Horizon Dr.,3201 Horizon Dr.
Ascend by Homecoming,41.5966,-87.79453,No,Chicago-Naperville-Elgin,Tinley Park,Ascend by Homecoming,16200 Harlem Ave.
Ascend Cannabis Outlet by InLabs,41.90669,-87.90563,No,Chicago-Naperville-Elgin,Northlake,Ascend Cannabis Outlet by InLabs,39 W North Ave.
Ascend Chicago Ridge,41.703678,-87.77919,No,Chicago-Naperville-Elgin,Chicago Ridge,Ascend Chicago Ridge,9820 Ridgeland Ave
Ascend  Fairview Heights,38.592239,-89.996849,No,"St. Louis, MO",Fairview Heights,Ascend  Fairview Heights,114 Commerce Ln
Ascend Moca  Logan Square,41.92049,-87.699768,Yes,Chicago-Naperville-Elgin,Chicago,Ascend Moca  Logan Square,2367 N Milwaukee Ave.
Ascend Moca  River North,41.891171,-87.634354,No,Chicago-Naperville-Elgin,Chicago,Ascend Moca  River North,216 W. Ohio St.
Ash Ivy - Benton,37.99872,-88.93967,No,South Illinois Nonmetropolitan,Benton,Ash Ivy - Benton,9 N Rend Lake Plz
AuraLight - Aurora,41.7844,-88.3756,No,Chicago-Naperville-Elgin,Aurora,AuraLight - Aurora,1350 N Orchard Rd
Be Blue Island,41.66685,-87.6821,No,Chicago-Naperville-Elgin,Blue Island,Be Blue Island,12720 Western Ave
Be. - Oak Forest,41.60366,-87.76372,No,Chicago-Naperville-Elgin,Oak Forest,Be. - Oak Forest,5940 159th St
Beyond Hello  Bloomington Keaton Place,40.5013,-88.95216,No,Bloomington,Bloomington,Beyond Hello  Bloomington Keaton Place,118 Keaton Place
Beyond Hello  Sauget Mississippi Ave,38.648869,-90.133987,No,"St. Louis, MO",Sauget,Beyond Hello  Sauget Mississippi Ave,1401 Mississippi Ave. Ste. 17
Beyond/Hello - Peoria,40.78163,-89.66802,No,Peoria,Peoria,Beyond/Hello - Peoria,7620 N IL Rt 91
Beyond/Hello  Normal,40.51675,-88.98333,Yes,Bloomington,Normal,Beyond/Hello  Normal,501 W Northtown Rd
Beyond/Hello  Sauget,38.564121,-90.168579,Yes,"St. Louis, MO",Sauget,Beyond/Hello  Sauget,2021 Goose Lake Rd
Bisa Lina Carol Stream,41.90239,-88.09672,No,Chicago-Naperville-Elgin,Carol Stream,Bisa Lina Carol Stream,720 E North Ave
Bisa Lina Joliet,41.52314,-88.13243,No,Chicago-Naperville-Elgin,Joliet,Bisa Lina Joliet,2121 W Jefferson St
Bloc - Forest Park,41.88649,-87.80596,No,Chicago-Naperville-Elgin,Forest Park,Bloc - Forest Park,7216 Circle Ave
Bloc Dispensary - Antioch,42.4741,-88.09979,No,Chicago-Naperville-Elgin,Antioch,Bloc Dispensary - Antioch,417 E Il Route 173 Unit 106
Bloc Dispensary - Mattoon,39.47791,-88.37725,No,East Central IL Nonmetropolitan,Mattoon,Bloc Dispensary - Mattoon,511 Lake Land Blvd
Bloc Dispensary Berwyn,41.82612,-87.80104,No,Chicago-Naperville-Elgin,Berwyn,Bloc Dispensary Berwyn,7122 Ogden Ave
BLOC Dispensary Kedzie,41.94654,-87.7075,No,Chicago-Naperville-Elgin,Chicago,BLOC Dispensary Kedzie,3545 N Kedzie Ave
Bloc Dispensary Metropolis,37.16281,-88.68747,No,South Illinois Nonmetropolitan,Metropolis,Bloc Dispensary Metropolis,2125 E 5th St
Bloc Dispensary Northfield,42.09711,-87.79771,No,Chicago-Naperville-Elgin,Northfield,Bloc Dispensary Northfield,161 Waukegan Rd
Bloom Wellness - Normal,40.53331,-88.99263,No,Bloomington,Normal,Bloom Wellness - Normal,1730 Bradford Ln Ste 185
Bloom Wellness - Quincy,39.9386,-91.38595,Yes,West Central Illinois Nonmetropolitan,Quincy,Bloom Wellness - Quincy,4440 Broadway St Ste 1
Bloom Wellness - Quincy 2,39.93539,-91.34453,No,West Central Illinois Nonmetropolitan,Quincy,Bloom Wellness - Quincy 2,1837 Broadway St
Bloom Wellness- Hometown,41.73412,-87.72581,No,Chicago-Naperville-Elgin,Hometown,Bloom Wellness- Hometown,4140 Southwest Hwy
Blyss Dispensary,38.31024,-88.94102,No,South Illinois Nonmetropolitan,Mount Vernon,Blyss Dispensary,610B S 42nd St
Bridge City Collective East Dubuque,42.49347,-90.64512,No,Northwest Illinois nonmetropolitan area,East Dubuque,Bridge City Collective East Dubuque,122 Sinsinawa Ave
Bud & Rita's - The Loop,41.88203,-87.63124,No,Chicago-Naperville-Elgin,Chicago,Bud & Rita's - The Loop,105 W Madison St
Bud & Ritas - West Town,41.89623,-87.67524,No,Chicago-Naperville-Elgin,Chicago,Bud & Ritas - West Town,1914 W Chicago Ave
Bud and Ritas - Niles,42.01524,-87.77661,No,Chicago-Naperville-Elgin,Niles,Bud and Ritas - Niles,5960 W Touhy Ave
Bud and Ritas - Wadsworth,42.46741,-87.94635,No,Chicago-Naperville-Elgin,Wadsworth,Bud and Ritas - Wadsworth,41509 N US Highway 41
Bud and Ritas Chicago,41.93921,-87.7135,No,Chicago-Naperville-Elgin,Chicago,Bud and Ritas Chicago,3425 W Belmont Ave
Bud and Ritas Forsyth,39.92204,-88.95701,No,Decatur,Macon,Bud and Ritas Forsyth,1401 Hickory Point Dr.
Cannabist - Chicago,41.969872,-87.758629,Yes,Chicago-Naperville-Elgin,Chicago,Cannabist - Chicago,4758 N Milwaukee Ave
Cannabist - Villa Park,41.87746,-87.977249,No,Chicago-Naperville-Elgin,Villa Park,Cannabist - Villa Park,133 Roosevelt Rd.
Cannect Dispensary,41.93621,-87.8845,No,Chicago-Naperville-Elgin,Franklin Park,Cannect Dispensary,3147 Mannheim Rd
Cloud 9 - East Peoria,40.67379,-89.58121,No,Peoria,East Peoria,Cloud 9 - East Peoria,406 W Camp St.
Cloud 9 - Oswego,41.71903,-88.31628,No,Chicago-Naperville-Elgin,Oswego,Cloud 9 - Oswego,2420 US Highway 30
Cloud 9 Cannabis - Schaumburg,42.00338,-88.1257,No,Chicago-Naperville-Elgin,Schaumburg,Cloud 9 Cannabis - Schaumburg,1823 W Wise Rd.
Cloud9 - Champaign,40.14236,-88.2515,No,Champaign-Urbana,Champaign,Cloud9 - Champaign,505 W Town Center Blvd.
Cloud9 - Edwardsville,38.78459,-89.95777,No,"St. Louis, MO",Edwardsville,Cloud9 - Edwardsville,2341 Plum St
Cloudhaven - South Beloit,42.49193,-89.02158,No,Rockford,South Beloit,Cloudhaven - South Beloit,1322 Gardner St.
Consume - Oakbrook Terrace,41.87746,-87.977249,No,Chicago-Naperville-Elgin,Oakbrook Terrace,Consume - Oakbrook Terrace,1S130 Summit Ave.
Consume Antioch,42.49072,-88.09443,No,Chicago-Naperville-Elgin,Antioch,Consume Antioch,471 Main St
Consume Carbondale,37.72842,-89.21711,No,Carbondale-Marion,Carbondale,Consume Carbondale,201 E. Main Street
Consume Chicago,41.994659,-87.813988,Yes,Chicago-Naperville-Elgin,Chicago,Consume Chicago,6428 N Milwaukee Ave
Consume Marion,37.725739,-88.923538,Yes,East Central IL Nonmetropolitan,Marion,Consume Marion,8195 Express Dr
Consume St. Charles,41.90451,-88.33858,No,Chicago-Naperville-Elgin,St Charles,Consume St. Charles,584 S Randall Rd.
Cookies - Bloomington,40.48768,-89.04087,No,Bloomington,Bloomington,Cookies - Bloomington,1006 Jc Pkwy
Cookies - Chicago,41.88635,-87.64111,No,Chicago-Naperville-Elgin,Chicago,Cookies - Chicago,215 N Clinton St
Cookies - Peoria Heights,40.73685,-89.57711,No,Peoria,Peoria Heights,Cookies - Peoria Heights,1209 E War Memorial Dr
Cookies - Pontoon Beach,38.75004,-90.07197,No,"St. Louis, MO",Pontoon Beach,Cookies - Pontoon Beach,5111 State Route 111
Cookies Bolingbrook,41.69409,-88.10299,No,Chicago-Naperville-Elgin,Bolingbrook,Cookies Bolingbrook,190 S Weber Rd
Curaleaf  Deerfield,42.16922,-87.863632,Yes,Chicago-Naperville-Elgin,Deerfield,Curaleaf  Deerfield,677 Lake Cook Rd
Curaleaf  Justice,41.744541,-87.834267,Yes,Chicago-Naperville-Elgin,Justice,Curaleaf  Justice,8340 S Roberts Rd
