license_number,legal_name,trade_name,store_type,address,city,region,postal_code,country,latitude,longitude,official_website,regulator_url,license_status,operational_status,coordinates_source,coordinates_confidence,location_evidence
DA-23-00001,"Cannabus, LLC",Potomac Holistics,OTHER_REGULATED_POINT,14808 Physicians Lane Suite 211 Rockville Maryland 20850,,Montgomery,,US,39.0996,-77.2109,https://potomacholistics.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00002,"Southern Maryland Relief, LLC",Story Cannabis - Mechanicsville,OTHER_REGULATED_POINT,28105 Three Notch Road Mechanicsville Maryland 20659,,St. Mary's,,US,38.4396,-76.7333,https://storycannabis.com/dispensary-locations/maryland/mechanicsville-md/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00004,"Maryland Wellness Access, LLC",Remedy - Columbia,OTHER_REGULATED_POINT,8865 Stanford Blvd. Unit 131 Columbia Maryland 21045,,Howard,,US,39.1912,-76.8181,https://remedymaryland.com/locations/maryland/columbia-dispensary/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00005,"Maryland Compassionate Care & Wellness, LLC",Curaleaf - Frederick,OTHER_REGULATED_POINT,5420 Urbana Pike Frederick Maryland 21704,,Frederick,,US,39.3804,-77.3995,https://curaleaf.com/shop/maryland/curaleaf-dispensary-md-frederick,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00006,"Nature's Care & Wellness, LLC",Nature's Care & Wellness,OTHER_REGULATED_POINT,4925 Pulaski Highway Suite A Perryville Maryland 21903,,Cecil,,US,39.5778,-76.0506,https://ncwmedical.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00007,"MIMD Operating 1, LLC",Cookies Baltimore,OTHER_REGULATED_POINT,35 E. Cross Street Baltimore Maryland 21230,,Baltimore City,,US,39.2766,-76.6131,https://baltimore.cookies.co/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00008,"Trulieve MD, LLC",Trulieve - Rockville,OTHER_REGULATED_POINT,12200 Rockville Pike Rockville Maryland 20852,,Montgomery,,US,39.0583,-77.1208,https://www.trulieve.com/dispensaries/rockville-md,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00009,"Maryleaf, LLC",Bloom Medicinals,OTHER_REGULATED_POINT,11530 Middlebrook Road Germantown Maryland 20876,,Montgomery,,US,39.1794,-77.2402,https://bloommedicinals.com/maryland/germantown-dispensary-md/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00010,"Freestate Wellness, LLC",Zen Leaf - Elkridge,OTHER_REGULATED_POINT,6000 Marshalee Drive Elkridge Maryland 21075,,Howard,,US,39.2114,-76.7781,https://zenleafdispensaries.com/locations/elkridge/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00011,"MCNA Wellness, LLC",Haven Cannabis Dispensary,OTHER_REGULATED_POINT,15300 Robert Crain Highway Brandywine Maryland 20613,,Prince George's,,US,38.6796,-76.8739,https://www.findinghaven.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00012,"Positive Energy, LLC",Positive Energy Dispensary,OTHER_REGULATED_POINT,9939 Jerry Mack Road Suite 500 Ocean City Maryland 21842,,Worcester,,US,38.3379,-75.1348,https://www.positiveenergyoc.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00013,"Alternative Medicine Maryland, LLC",Green Point Dispensary - Linthicum,OTHER_REGULATED_POINT,823 A Elkridge Landing Road Linthicum Maryland 21090,,Anne Arundel,,US,39.192,-76.6717,https://www.gpwellness.com/linthicum-menu,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00015,"Curaleaf MD, LLC",Curaleaf - Reisterstown,OTHER_REGULATED_POINT,11722 Reisterstown Road Reisterstown Maryland 21136,,Baltimore,,US,39.4447,-76.8119,https://curaleaf.com/shop/maryland/curaleaf-md-reisterstown,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00017,"Oc botanicals, LLC",Hi-Tide Dispensary,OTHER_REGULATED_POINT,12524 Ocean Gateway Unit 100 Ocean City Maryland 21842,,Worcester,,US,38.337,-75.1139,https://ochitide.com,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
